seed,day,fatigue,health,restApplied
42,1,0.00,100.00,True
42,2,0.00,100.00,True
42,3,0.00,100.00,True
42,4,0.00,100.00,True
42,5,0.00,100.00,True
42,6,0.00,100.00,True
42,7,0.00,100.00,True
42,8,0.00,100.00,True
42,9,0.00,100.00,True
42,10,0.00,100.00,True
42,11,0.00,100.00,True
42,12,0.00,100.00,True
42,13,0.00,100.00,True
42,14,0.00,100.00,True
42,15,0.00,100.00,True
42,16,0.00,100.00,True
42,17,0.00,100.00,True
42,18,0.00,100.00,True
42,19,0.00,100.00,True
42,20,0.00,100.00,True
42,21,0.00,100.00,True
42,22,0.00,100.00,True
42,23,0.00,100.00,True
42,24,0.00,100.00,True
42,25,0.00,100.00,True
42,26,0.00,100.00,True
42,27,0.00,100.00,True
42,28,0.00,100.00,True
42,29,0.00,100.00,True
42,30,0.00,100.00,True
