seed,day,fatigue,health,restApplied
42,1,19.60,100.00,False
42,2,29.20,100.00,False
42,3,38.80,100.00,False
42,4,48.40,100.00,False
42,5,58.00,100.00,False
42,6,67.60,100.00,False
42,7,77.20,100.00,False
42,8,86.80,100.00,False
42,9,96.40,100.00,False
42,10,100.00,100.00,False
42,11,100.00,100.00,False
42,12,100.00,100.00,False
42,13,100.00,100.00,False
42,14,100.00,100.00,False
42,15,100.00,100.00,False
42,16,100.00,100.00,False
42,17,100.00,100.00,False
42,18,100.00,100.00,False
42,19,100.00,100.00,False
42,20,100.00,100.00,False
42,21,100.00,100.00,False
42,22,100.00,100.00,False
42,23,100.00,100.00,False
42,24,100.00,100.00,False
42,25,100.00,100.00,False
42,26,100.00,100.00,False
42,27,100.00,100.00,False
42,28,100.00,100.00,False
42,29,100.00,100.00,False
42,30,100.00,100.00,False
