seed,scenario,day,health,hunger,thirst,fatigue,warmth,morale,radiationDose,foodInv,waterInv,fuelInv,foodConsumed,waterConsumed,fuelConsumed,foodPrice,waterPrice,fuelPrice,powerAvailable,heatAvailable,criticalCount,healthLoss
999,CombinedStress,1,100.0,19.2,23.8,0.0,100.0,70.0,29.0,3,2,10.0,2,3,0.0,NaN,NaN,NaN,False,False,0,0.0
999,CombinedStress,2,100.0,18.4,22.6,0.0,100.0,70.0,53.0,1,2,10.0,4,6,0.0,NaN,NaN,NaN,False,False,0,0.0
999,CombinedStress,3,100.0,17.6,21.4,0.0,100.0,70.0,77.0,1,2,10.0,6,9,0.0,NaN,NaN,NaN,False,False,0,0.0
999,CombinedStress,4,100.0,16.8,20.2,0.0,100.0,70.0,100.0,1,2,10.0,8,12,0.0,NaN,NaN,NaN,False,False,0,0.0
999,CombinedStress,5,100.0,16.0,19.0,0.0,100.0,70.0,100.0,1,2,10.0,10,15,0.0,NaN,NaN,NaN,False,False,0,0.0
999,CombinedStress,6,100.0,15.2,17.8,0.0,100.0,70.0,100.0,1,2,10.0,12,18,0.0,NaN,NaN,NaN,False,False,0,0.0
999,CombinedStress,7,100.0,14.4,16.6,0.0,100.0,70.0,100.0,1,2,10.0,14,21,0.0,NaN,NaN,NaN,False,False,0,0.0
999,CombinedStress,8,100.0,13.6,15.4,0.0,100.0,70.0,100.0,1,2,10.0,16,24,0.0,NaN,NaN,NaN,False,False,0,0.0
999,CombinedStress,9,100.0,12.8,14.2,0.0,100.0,70.0,100.0,1,2,10.0,18,27,0.0,NaN,NaN,NaN,False,False,0,0.0
999,CombinedStress,10,100.0,12.0,13.0,0.0,100.0,70.0,100.0,1,2,10.0,20,30,0.0,NaN,NaN,NaN,False,False,0,0.0
999,CombinedStress,11,100.0,11.2,11.8,0.0,100.0,70.0,100.0,1,2,10.0,22,33,0.0,NaN,NaN,NaN,False,False,0,0.0
999,CombinedStress,12,100.0,10.4,10.6,0.0,100.0,70.0,100.0,1,2,10.0,24,36,0.0,NaN,NaN,NaN,True,True,0,0.0
999,CombinedStress,13,100.0,9.6,9.4,0.0,100.0,70.0,100.0,1,2,10.0,26,39,0.0,NaN,NaN,NaN,True,True,0,0.0
999,CombinedStress,14,100.0,8.8,8.2,0.0,100.0,70.0,100.0,1,2,10.0,28,42,0.0,NaN,NaN,NaN,True,True,0,0.0
999,CombinedStress,15,100.0,8.0,7.0,0.0,100.0,70.0,100.0,1,2,10.0,30,45,0.0,NaN,NaN,NaN,True,True,0,0.0
999,CombinedStress,16,100.0,7.2,5.8,0.0,100.0,70.0,100.0,1,2,10.0,32,48,0.0,NaN,NaN,NaN,True,True,0,0.0
999,CombinedStress,17,100.0,6.4,4.6,0.0,100.0,70.0,100.0,1,2,10.0,34,51,0.0,NaN,NaN,NaN,True,True,0,0.0
999,CombinedStress,18,100.0,5.6,3.4,0.0,100.0,70.0,100.0,1,2,10.0,36,54,0.0,NaN,NaN,NaN,True,True,0,0.0
999,CombinedStress,19,100.0,4.8,2.2,0.0,100.0,70.0,100.0,1,2,10.0,38,57,0.0,NaN,NaN,NaN,True,True,0,0.0
999,CombinedStress,20,100.0,4.0,1.0,0.0,100.0,70.0,100.0,1,2,10.0,40,60,0.0,NaN,NaN,NaN,True,True,0,0.0
999,CombinedStress,21,100.0,3.2,0.0,0.0,100.0,70.0,100.0,1,2,10.0,42,63,0.0,NaN,NaN,NaN,True,True,0,0.0
999,CombinedStress,22,100.0,2.4,0.0,0.0,100.0,70.0,100.0,1,2,10.0,44,66,0.0,NaN,NaN,NaN,True,True,0,0.0
999,CombinedStress,23,100.0,1.6,0.0,0.0,100.0,70.0,100.0,1,2,10.0,46,69,0.0,NaN,NaN,NaN,True,True,0,0.0
999,CombinedStress,24,100.0,0.8,0.0,0.0,100.0,70.0,100.0,1,2,10.0,48,72,0.0,NaN,NaN,NaN,True,True,0,0.0
999,CombinedStress,25,100.0,0.0,0.0,0.0,100.0,70.0,100.0,1,2,10.0,50,75,0.0,NaN,NaN,NaN,True,True,0,0.0
999,CombinedStress,26,100.0,0.0,0.0,0.0,100.0,70.0,100.0,1,2,10.0,52,78,0.0,NaN,NaN,NaN,True,True,0,0.0
999,CombinedStress,27,100.0,0.0,0.0,0.0,100.0,70.0,100.0,1,2,10.0,54,81,0.0,NaN,NaN,NaN,True,True,0,0.0
999,CombinedStress,28,100.0,0.0,0.0,0.0,100.0,70.0,100.0,1,2,10.0,56,84,0.0,NaN,NaN,NaN,True,True,0,0.0
999,CombinedStress,29,100.0,0.0,0.0,0.0,100.0,70.0,100.0,1,2,10.0,58,87,0.0,NaN,NaN,NaN,True,True,0,0.0
999,CombinedStress,30,100.0,0.0,0.0,0.0,100.0,70.0,100.0,1,2,10.0,60,90,0.0,NaN,NaN,NaN,True,True,0,0.0
